Power Usage Effectiveness (PUE),Energy Consumption (kWh),Renewable Energy Usage (%),Cooling Efficiency,Total Power Consumption (kW),Server Power Consumption (kW),Dynamic Power Usage (kW),CPU Utilization (%),Task Completion Time (ms),SLA Violations,Workload Type,Number of Active VMs,Energy Strategy,Energy Savings (%)
1.3,"42,000",100,1.0,"2,700",200,70,10,148,1,Compute-heavy,284,Non-renewable,30
1.6,"5,000",0,1.6,700,170,120,0,73,5,I/O heavy,278,Hybrid,50
1.4,"9,000",70,1.6,600,200,120,20,196,0,Compute-heavy,139,Renewable-first,20
1.4,"18,000",40,1.7,"2,500",140,100,50,55,5,Mixed,75,Non-renewable,70
1.7,"29,000",90,1.3,"2,300",30,140,10,36,4,I/O heavy,128,Non-renewable,0
1.8,"13,000",70,1.4,"1,100",190,100,80,94,0,I/O heavy,213,Hybrid,10
1.3,"34,000",10,1.6,"1,500",40,60,60,165,4,I/O heavy,54,Renewable-first,60
1.5,"23,000",0,1.7,"1,500",110,90,80,183,0,Compute-heavy,464,Non-renewable,20
1.5,"44,000",10,1.6,700,40,150,50,162,0,Mixed,322,Renewable-first,50
1.4,"12,000",50,1.7,"2,800",120,110,90,137,4,Mixed,297,Renewable-first,50
1.4,"20,000",30,1.7,"1,100",190,90,50,136,3,I/O heavy,489,Renewable-first,0
1.2,"12,000",70,1.5,"1,500",200,60,20,34,1,I/O heavy,104,Hybrid,60
1.6,"27,000",80,1.1,"2,800",90,130,50,43,1,Compute-heavy,420,Hybrid,0
1.5,"13,000",80,1.7,"1,600",130,130,0,173,1,I/O heavy,443,Hybrid,30
1.3,"36,000",40,1.4,"1,700",90,60,50,144,0,I/O heavy,354,Non-renewable,40
1.7,"41,000",50,1.0,500,140,70,0,198,0,Compute-heavy,372,Hybrid,50
1.7,"38,000",100,1.5,"1,100",170,140,80,96,3,Mixed,331,Non-renewable,0
1.5,"22,000",100,1.6,"2,400",200,50,10,173,5,Mixed,61,Hybrid,10
1.4,"49,000",60,1.4,"2,900",150,110,0,68,4,Compute-heavy,131,Hybrid,40
1.6,"48,000",30,1.4,"2,400",160,150,50,156,5,Mixed,109,Renewable-first,40
1.4,"19,000",90,1.4,800,70,90,50,70,2,I/O heavy,405,Hybrid,80
1.3,"19,000",20,1.2,700,190,120,80,134,0,Mixed,376,Non-renewable,30
1.6,"33,000",10,1.3,"2,100",200,50,80,86,2,Mixed,365,Non-renewable,20
1.2,"27,000",90,1.6,700,180,130,80,169,0,I/O heavy,334,Renewable-first,10
1.3,"27,000",30,1.0,"1,400",20,70,10,200,2,Mixed,169,Hybrid,0
1.2,"5,000",80,1.4,900,150,50,20,135,1,Compute-heavy,311,Non-renewable,0
1.3,"26,000",40,1.0,"3,000",70,100,90,93,1,I/O heavy,57,Non-renewable,60
1.2,"11,000",0,1.2,"2,000",200,130,0,102,1,Compute-heavy,295,Non-renewable,80
1.8,"49,000",40,1.3,"2,100",40,50,80,139,3,Mixed,289,Renewable-first,10
1.4,"36,000",50,1.1,600,160,110,40,163,3,Mixed,190,Renewable-first,20
1.3,"32,000",90,1.7,"2,100",200,70,10,193,2,Compute-heavy,250,Non-renewable,20
1.3,"36,000",50,1.7,"1,200",200,80,40,159,1,I/O heavy,133,Hybrid,20
1.8,"37,000",40,1.1,"1,300",100,80,30,26,0,I/O heavy,70,Renewable-first,20
1.5,"47,000",70,1.7,"1,100",130,50,50,191,3,I/O heavy,314,Non-renewable,0
1.4,"17,000",40,1.2,500,150,110,40,165,0,I/O heavy,303,Renewable-first,50
1.7,"32,000",100,1.0,"2,400",150,100,40,182,3,Compute-heavy,246,Non-renewable,50
1.4,"13,000",90,1.6,"1,200",90,60,70,158,3,Compute-heavy,403,Non-renewable,70
1.4,"47,000",20,1.4,"1,300",50,70,30,102,1,Compute-heavy,272,Hybrid,10
1.3,"7,000",20,1.4,"2,400",70,60,0,177,3,I/O heavy,155,Non-renewable,0
1.4,"21,000",30,1.0,"2,000",100,110,10,92,1,Compute-heavy,426,Non-renewable,20
1.4,"38,000",90,1.8,"2,200",60,80,20,71,5,Compute-heavy,352,Hybrid,80
1.6,"36,000",70,1.7,600,70,110,90,36,5,I/O heavy,425,Hybrid,70
1.4,"13,000",80,1.8,"2,400",140,90,70,139,3,Mixed,97,Hybrid,40
1.5,"45,000",60,1.2,"1,200",100,90,90,200,2,Mixed,327,Non-renewable,70
1.2,"5,000",10,1.5,"2,600",170,140,80,57,1,I/O heavy,134,Hybrid,40
1.3,"46,000",80,1.6,"3,000",180,50,20,64,0,Mixed,228,Non-renewable,10
1.4,"24,000",50,1.6,"2,800",60,60,80,62,4,I/O heavy,383,Hybrid,70
1.8,"9,000",50,1.6,"2,200",140,50,20,160,1,Mixed,197,Non-renewable,70
1.4,"44,000",50,1.5,"2,000",70,80,40,125,0,Mixed,273,Hybrid,60
1.6,"49,000",0,1.0,"2,300",180,50,20,131,2,Compute-heavy,279,Renewable-first,10
1.4,"25,000",80,1.8,"3,000",160,60,90,35,3,I/O heavy,181,Renewable-first,60
1.3,"9,000",50,1.1,"2,600",90,110,30,65,3,I/O heavy,141,Renewable-first,50
1.2,"8,000",60,1.1,"3,000",70,90,30,185,2,Mixed,247,Renewable-first,50
1.4,"12,000",0,1.7,500,180,150,90,173,4,Compute-heavy,254,Renewable-first,40
1.3,"29,000",40,1.1,"1,800",160,70,100,177,1,Mixed,162,Hybrid,60
1.3,"11,000",20,1.2,"2,600",90,130,60,75,5,I/O heavy,483,Hybrid,40
1.7,"41,000",80,1.0,"1,000",80,140,40,177,0,I/O heavy,187,Non-renewable,70
1.2,"46,000",10,1.1,"1,600",20,150,30,43,5,Mixed,477,Non-renewable,30
1.5,"36,000",30,1.5,500,50,60,50,157,3,I/O heavy,297,Non-renewable,50
1.4,"21,000",20,1.3,"2,300",190,50,90,101,5,Mixed,492,Renewable-first,70
1.5,"32,000",80,1.1,500,130,90,100,165,3,I/O heavy,160,Hybrid,60
1.5,"10,000",20,1.2,"2,600",110,80,20,102,0,Compute-heavy,364,Hybrid,30
1.4,"46,000",0,1.6,"2,900",40,90,60,121,1,Compute-heavy,61,Non-renewable,30
1.4,"46,000",70,1.4,"1,000",190,150,40,115,0,Mixed,214,Hybrid,50
1.6,"40,000",0,1.4,"2,000",40,150,20,29,2,I/O heavy,252,Renewable-first,40
1.7,"6,000",100,1.0,"1,900",100,140,20,170,3,Mixed,313,Renewable-first,20
1.3,"35,000",0,1.4,"1,600",170,130,20,76,4,I/O heavy,473,Hybrid,40
1.3,"5,000",60,1.4,"1,000",30,140,30,125,2,Mixed,361,Renewable-first,0
1.7,"7,000",80,1.4,"1,900",20,60,60,158,5,Compute-heavy,458,Hybrid,70
1.4,"17,000",30,1.4,"2,200",40,130,0,109,5,Mixed,240,Renewable-first,10
1.5,"35,000",90,1.1,500,60,120,40,172,5,I/O heavy,102,Hybrid,10
1.4,"33,000",30,1.7,"2,400",60,150,60,150,3,Mixed,465,Hybrid,0
1.3,"48,000",40,1.2,"2,000",130,150,30,126,2,Compute-heavy,89,Hybrid,60
1.6,"37,000",40,1.5,"1,500",30,70,90,161,4,Compute-heavy,236,Non-renewable,20
1.5,"14,000",10,1.3,"1,300",150,90,10,134,1,Mixed,480,Hybrid,70
1.3,"42,000",80,1.3,"2,000",120,130,100,102,0,I/O heavy,104,Non-renewable,20
1.5,"13,000",90,1.6,"2,000",90,90,70,86,3,I/O heavy,265,Hybrid,0
1.7,"5,000",80,1.3,500,80,50,0,28,1,Mixed,191,Non-renewable,50
1.6,"48,000",80,1.5,"2,700",150,120,50,88,1,I/O heavy,469,Renewable-first,70
1.3,"41,000",80,1.2,"2,300",120,130,50,25,3,Compute-heavy,189,Renewable-first,80
1.5,"36,000",0,1.2,"2,900",180,60,30,70,1,Mixed,497,Non-renewable,40
1.6,"37,000",70,1.2,"2,200",60,140,30,58,2,I/O heavy,368,Hybrid,40
1.7,"6,000",70,1.2,600,20,110,60,61,2,I/O heavy,236,Non-renewable,80
1.6,"6,000",30,1.1,"1,100",140,140,90,94,0,Mixed,81,Hybrid,30
1.3,"9,000",90,1.1,"2,800",100,70,100,80,4,Compute-heavy,118,Renewable-first,30
1.6,"14,000",0,1.7,"2,100",170,60,20,180,4,Mixed,249,Renewable-first,40
1.6,"42,000",0,1.2,"2,900",40,140,50,134,1,Compute-heavy,273,Hybrid,40
1.2,"41,000",0,1.4,"1,100",180,60,20,60,4,Mixed,65,Renewable-first,10
1.4,"6,000",20,1.4,700,100,60,30,176,1,Mixed,336,Hybrid,80
1.4,"45,000",90,1.5,"1,700",200,140,60,115,1,Compute-heavy,373,Renewable-first,80
1.6,"46,000",20,1.5,"2,700",50,50,80,45,3,I/O heavy,365,Renewable-first,70
1.3,"44,000",30,1.3,"1,600",30,140,20,125,0,I/O heavy,350,Non-renewable,10
1.6,"29,000",100,1.1,"1,700",40,110,30,60,4,Compute-heavy,124,Renewable-first,50
1.7,"42,000",10,1.1,"1,000",160,60,10,87,0,Mixed,66,Non-renewable,60
1.7,"41,000",100,1.3,"2,800",200,130,100,121,2,Compute-heavy,255,Renewable-first,80
1.8,"22,000",100,1.4,"2,800",80,120,50,47,0,I/O heavy,193,Hybrid,30
1.8,"31,000",80,1.5,"2,100",170,110,40,122,2,I/O heavy,369,Non-renewable,0
1.2,"24,000",90,1.7,"1,900",20,90,20,33,1,I/O heavy,231,Hybrid,10
1.6,"38,000",80,1.2,800,30,100,100,146,4,Compute-heavy,446,Hybrid,40
1.4,"48,000",90,1.1,"2,200",170,100,20,111,1,I/O heavy,379,Non-renewable,30
1.7,"12,000",60,1.4,"2,800",150,120,10,151,0,Compute-heavy,262,Hybrid,60
1.4,"8,000",10,1.1,"2,800",140,70,50,149,1,Mixed,396,Renewable-first,40
1.8,"34,000",20,1.1,700,30,150,40,47,4,Mixed,154,Non-renewable,70
1.6,"40,000",70,1.4,"2,400",20,80,30,126,5,I/O heavy,312,Hybrid,80
1.7,"13,000",80,1.7,"1,700",60,50,20,157,0,I/O heavy,404,Hybrid,80
1.3,"45,000",30,1.2,500,120,120,30,104,2,I/O heavy,326,Renewable-first,80
1.3,"16,000",80,1.3,"2,400",40,130,10,185,5,Mixed,160,Non-renewable,80
1.7,"18,000",30,1.4,"2,500",180,140,10,163,4,I/O heavy,302,Hybrid,20
1.2,"39,000",10,1.8,"1,600",70,130,60,30,3,Mixed,483,Non-renewable,60
1.7,"10,000",60,1.6,"2,800",50,110,20,104,0,I/O heavy,357,Hybrid,70
1.2,"27,000",80,1.3,800,150,150,0,170,3,Compute-heavy,91,Renewable-first,30
1.6,"8,000",10,1.2,"1,600",50,70,20,136,3,Mixed,349,Renewable-first,30
1.4,"5,000",70,1.4,"2,500",100,60,40,175,3,I/O heavy,423,Hybrid,40
1.6,"13,000",50,1.3,"2,300",190,120,20,46,0,I/O heavy,163,Hybrid,10
1.6,"13,000",80,1.5,"2,300",110,60,40,50,2,Mixed,371,Non-renewable,10
1.4,"48,000",40,1.4,900,20,130,40,166,3,Compute-heavy,108,Non-renewable,0
1.3,"19,000",0,1.0,600,50,50,60,126,0,I/O heavy,312,Non-renewable,70
1.2,"28,000",40,1.1,500,120,120,60,119,1,Mixed,81,Hybrid,70
1.6,"12,000",90,1.1,900,50,120,40,171,3,Mixed,444,Renewable-first,80
1.5,"32,000",60,1.5,"1,400",30,90,60,32,0,Compute-heavy,313,Hybrid,40
1.6,"46,000",100,1.8,"2,100",20,130,40,148,4,Mixed,442,Non-renewable,60
1.5,"21,000",60,1.4,"1,800",100,50,50,78,5,Mixed,442,Hybrid,20
1.5,"39,000",30,1.1,900,100,60,0,159,5,I/O heavy,368,Hybrid,60
1.4,"35,000",90,1.5,800,140,80,10,102,1,I/O heavy,433,Renewable-first,50
1.2,"8,000",50,1.5,"1,700",110,150,70,157,2,Compute-heavy,69,Hybrid,10
1.4,"18,000",50,1.6,"3,000",110,150,40,151,2,Compute-heavy,356,Non-renewable,10
1.8,"29,000",100,1.6,"2,000",180,100,70,60,1,I/O heavy,210,Renewable-first,20
1.7,"44,000",90,1.6,"1,700",60,150,60,55,0,Compute-heavy,472,Non-renewable,50
1.4,"11,000",90,1.6,"2,800",140,50,50,143,5,I/O heavy,67,Non-renewable,10
1.6,"35,000",0,1.7,"2,200",140,90,10,81,5,Mixed,73,Renewable-first,80
1.7,"39,000",40,1.7,"1,100",20,90,60,92,4,Mixed,90,Hybrid,40
1.5,"42,000",60,1.0,"1,200",140,70,30,87,1,Mixed,109,Non-renewable,60
1.2,"24,000",40,1.5,900,60,100,100,31,5,Mixed,114,Non-renewable,70
1.2,"20,000",70,1.8,"2,000",50,140,90,123,4,I/O heavy,77,Non-renewable,20
1.5,"26,000",0,1.6,"1,800",190,60,50,104,4,Compute-heavy,445,Hybrid,0
1.8,"40,000",80,1.1,700,130,50,30,122,3,Mixed,176,Hybrid,10
1.6,"23,000",10,1.6,"1,000",200,50,40,63,3,Mixed,471,Non-renewable,40
1.2,"6,000",70,1.2,"1,700",70,120,40,78,3,Mixed,490,Hybrid,80
1.3,"8,000",40,1.1,"2,100",170,130,50,200,0,Compute-heavy,315,Non-renewable,80
1.7,"38,000",90,1.2,"2,300",50,50,10,96,4,I/O heavy,245,Hybrid,40
1.7,"11,000",60,1.8,"2,900",200,140,20,134,3,Compute-heavy,224,Renewable-first,20
1.6,"18,000",100,1.5,"1,500",110,90,100,135,3,Mixed,481,Renewable-first,0
1.6,"47,000",100,1.8,"1,400",190,90,90,65,2,I/O heavy,364,Hybrid,10
1.2,"36,000",60,1.7,"2,500",200,150,70,88,3,I/O heavy,147,Renewable-first,40
1.7,"21,000",0,1.7,"2,600",150,60,20,66,0,Compute-heavy,336,Renewable-first,50
1.7,"41,000",70,1.4,"1,300",110,140,40,198,2,Mixed,349,Renewable-first,10
1.4,"18,000",20,1.3,"1,500",40,80,40,81,0,Compute-heavy,469,Non-renewable,10
1.6,"21,000",30,1.6,600,60,130,100,27,3,Compute-heavy,148,Non-renewable,40
1.3,"36,000",20,1.0,"2,700",120,90,60,86,1,Mixed,408,Non-renewable,0
1.2,"6,000",100,1.5,"1,000",40,150,10,55,5,Mixed,455,Non-renewable,80
1.3,"43,000",10,1.8,"1,500",30,130,50,127,4,Mixed,303,Hybrid,10
1.3,"8,000",60,1.7,"1,300",80,70,100,35,1,Compute-heavy,214,Renewable-first,10
1.4,"44,000",90,1.2,"2,100",60,100,50,24,1,Mixed,434,Hybrid,20
1.5,"34,000",40,1.1,"1,800",20,140,40,171,0,I/O heavy,476,Hybrid,80
1.5,"34,000",60,1.7,"2,400",160,50,50,91,5,Compute-heavy,344,Renewable-first,0
1.5,"37,000",0,1.0,700,170,150,20,112,0,I/O heavy,229,Non-renewable,40
1.4,"46,000",90,1.8,"2,100",160,130,10,196,3,Compute-heavy,136,Hybrid,50
1.2,"5,000",10,1.4,800,160,60,0,125,2,I/O heavy,87,Hybrid,70
1.6,"37,000",50,1.7,"1,400",140,140,70,181,4,I/O heavy,324,Non-renewable,70
1.4,"40,000",50,1.6,"1,700",160,150,90,101,3,Mixed,93,Hybrid,10
1.4,"35,000",20,1.6,"2,600",20,50,10,69,3,I/O heavy,178,Hybrid,20
1.7,"41,000",90,1.2,500,150,110,30,122,1,Compute-heavy,85,Non-renewable,30
1.6,"18,000",0,1.1,"1,300",40,60,60,41,5,Mixed,163,Hybrid,10
1.7,"10,000",20,1.5,"2,500",70,100,20,158,1,Compute-heavy,239,Non-renewable,60
1.5,"11,000",30,1.2,700,20,140,70,91,3,Mixed,393,Hybrid,30
1.3,"44,000",0,1.7,"1,900",60,150,40,20,2,I/O heavy,121,Hybrid,40
1.6,"28,000",60,1.1,"2,900",200,100,60,20,4,Mixed,110,Hybrid,50
1.3,"8,000",20,1.4,"1,400",40,140,10,35,0,Compute-heavy,74,Renewable-first,10
1.5,"29,000",70,1.3,"1,600",150,80,0,191,5,Compute-heavy,472,Renewable-first,80
1.2,"7,000",60,1.7,500,20,90,90,94,4,Compute-heavy,410,Hybrid,50
1.7,"32,000",50,1.7,"1,800",30,90,20,160,5,I/O heavy,108,Hybrid,80
1.3,"27,000",70,1.6,600,90,100,60,190,0,I/O heavy,217,Renewable-first,70
1.7,"40,000",80,1.6,"1,200",90,110,30,63,5,I/O heavy,494,Renewable-first,40
1.7,"17,000",10,1.6,700,70,70,70,65,0,Compute-heavy,222,Hybrid,40
1.5,"26,000",90,1.5,"1,400",110,80,20,81,3,Compute-heavy,427,Renewable-first,40
1.6,"29,000",80,1.8,"1,300",20,60,90,145,1,Mixed,119,Non-renewable,50
1.6,"47,000",90,1.6,900,180,60,0,27,0,Compute-heavy,65,Renewable-first,80
1.7,"28,000",40,1.8,"2,900",150,60,70,37,1,Mixed,343,Hybrid,10
1.5,"47,000",0,1.3,500,130,50,50,149,4,Compute-heavy,164,Renewable-first,70
1.7,"41,000",0,1.8,900,80,150,30,63,5,I/O heavy,110,Hybrid,0
1.5,"37,000",60,1.5,"1,600",60,150,90,180,3,Compute-heavy,364,Non-renewable,10
1.8,"18,000",50,1.7,"2,400",70,60,80,126,4,Mixed,456,Non-renewable,70
1.5,"28,000",90,1.1,"1,100",140,120,30,84,2,Mixed,228,Hybrid,40
1.5,"26,000",80,1.5,"1,500",60,70,50,52,2,I/O heavy,90,Hybrid,80
1.7,"41,000",0,1.8,500,50,70,30,185,5,I/O heavy,329,Renewable-first,20
1.7,"27,000",90,1.1,"2,000",110,110,70,130,1,Mixed,170,Non-renewable,20
1.5,"10,000",90,1.8,700,140,120,50,38,0,Compute-heavy,212,Renewable-first,60
1.3,"23,000",90,1.1,900,140,50,20,175,4,Compute-heavy,131,Non-renewable,70
1.5,"16,000",90,1.8,"1,200",80,100,70,37,2,Compute-heavy,479,Hybrid,70
1.8,"30,000",60,1.2,"2,800",130,80,90,178,5,Compute-heavy,201,Non-renewable,40
1.7,"33,000",70,1.6,"2,300",190,80,10,126,1,I/O heavy,67,Renewable-first,10
1.7,"18,000",90,1.0,"2,000",40,140,10,168,1,I/O heavy,217,Non-renewable,20
1.2,"21,000",30,1.2,"1,500",60,60,50,35,1,Mixed,99,Non-renewable,40
1.5,"34,000",0,1.5,"2,500",30,80,30,154,3,Compute-heavy,81,Renewable-first,80
1.6,"11,000",100,1.2,"1,300",90,50,50,91,3,Compute-heavy,461,Renewable-first,30
1.7,"25,000",100,1.6,"1,500",20,100,40,121,4,I/O heavy,336,Renewable-first,40
1.2,"5,000",20,1.5,"2,200",170,90,60,66,3,I/O heavy,301,Hybrid,10
1.7,"42,000",10,1.8,"1,600",170,80,80,186,0,Mixed,69,Hybrid,0
1.5,"8,000",20,1.5,"1,500",80,120,0,195,0,I/O heavy,287,Renewable-first,10
1.3,"12,000",50,1.6,"1,100",170,50,80,94,0,Compute-heavy,151,Non-renewable,50
1.4,"22,000",90,1.1,"2,700",170,60,100,70,1,I/O heavy,253,Hybrid,0
1.4,"49,000",20,1.0,"2,200",40,50,90,107,0,I/O heavy,96,Renewable-first,70
1.5,"12,000",90,1.5,"1,000",40,120,60,101,5,Mixed,327,Non-renewable,70
1.2,"35,000",30,1.8,"1,200",30,50,60,114,2,I/O heavy,444,Hybrid,50
1.3,"35,000",0,1.2,"1,700",200,110,0,130,5,I/O heavy,268,Hybrid,50
1.7,"32,000",50,1.0,700,70,100,10,104,5,Compute-heavy,230,Non-renewable,80
1.3,"41,000",10,1.3,"2,900",50,150,40,104,0,Compute-heavy,410,Non-renewable,60
1.3,"7,000",30,1.6,"2,800",110,140,100,167,0,Mixed,452,Renewable-first,50
1.5,"49,000",40,1.6,700,120,150,50,49,5,I/O heavy,183,Hybrid,80
1.5,"19,000",40,1.6,"2,700",40,140,10,143,1,Compute-heavy,485,Hybrid,0
1.7,"8,000",30,1.1,"1,900",60,90,80,38,1,I/O heavy,483,Hybrid,10
1.5,"39,000",20,1.6,"1,200",60,60,50,133,3,I/O heavy,288,Hybrid,50
1.7,"38,000",30,1.1,"1,900",20,50,100,54,0,I/O heavy,267,Hybrid,10
1.6,"40,000",20,1.8,500,160,60,80,52,3,I/O heavy,447,Renewable-first,60
1.3,"10,000",20,1.3,700,20,150,90,155,2,Compute-heavy,473,Renewable-first,10
1.3,"8,000",30,1.6,"3,000",70,70,80,114,2,I/O heavy,277,Hybrid,40
1.5,"34,000",80,1.4,"1,600",150,90,100,165,3,I/O heavy,336,Non-renewable,10
1.4,"43,000",80,1.2,"1,300",190,60,60,102,4,Compute-heavy,244,Renewable-first,50
1.6,"22,000",70,1.5,"1,100",170,110,50,191,2,Mixed,484,Renewable-first,10
1.5,"26,000",30,1.0,500,180,80,80,94,4,Compute-heavy,66,Non-renewable,50
1.4,"14,000",10,1.4,"2,500",90,60,60,147,3,Mixed,262,Renewable-first,50
1.3,"33,000",80,1.0,"1,500",50,50,0,186,5,Mixed,209,Hybrid,40
1.3,"27,000",50,1.5,"1,400",200,90,30,57,4,Compute-heavy,299,Renewable-first,30
1.5,"8,000",70,1.4,"2,300",20,80,50,34,0,Compute-heavy,358,Hybrid,70
1.5,"23,000",30,1.7,600,120,140,60,49,1,Compute-heavy,134,Renewable-first,20
1.5,"30,000",70,1.8,"1,700",100,110,30,38,3,Compute-heavy,411,Non-renewable,30
1.3,"11,000",50,1.5,"2,100",90,60,90,166,4,Compute-heavy,84,Renewable-first,80
1.6,"17,000",50,1.1,600,90,50,60,84,4,Compute-heavy,332,Non-renewable,60
1.7,"7,000",50,1.4,500,60,130,100,102,5,I/O heavy,62,Hybrid,10
1.4,"44,000",80,1.0,"2,600",160,60,30,199,2,Mixed,233,Renewable-first,80
1.5,"15,000",0,1.6,"2,900",190,110,40,44,3,Compute-heavy,209,Non-renewable,20
1.8,"20,000",0,1.0,700,130,130,60,190,1,Compute-heavy,473,Non-renewable,50
1.4,"24,000",40,1.6,"3,000",30,120,100,95,3,Compute-heavy,467,Renewable-first,0
1.6,"27,000",0,1.2,"1,400",70,150,80,112,0,Mixed,464,Renewable-first,70
1.3,"27,000",90,1.2,500,120,80,90,113,1,Mixed,232,Hybrid,40
1.6,"36,000",80,1.1,"1,800",30,120,40,45,0,I/O heavy,294,Non-renewable,50
1.3,"45,000",30,1.5,"2,600",80,150,100,140,1,I/O heavy,453,Renewable-first,40
1.8,"46,000",10,1.3,"1,000",200,60,40,92,1,Compute-heavy,207,Renewable-first,50
1.6,"42,000",20,1.1,"2,200",130,80,90,111,2,I/O heavy,161,Non-renewable,0
1.7,"7,000",80,1.3,"2,400",100,100,80,70,2,I/O heavy,264,Renewable-first,30
1.6,"12,000",100,1.7,"1,800",160,100,40,188,1,Mixed,302,Hybrid,40
1.6,"42,000",70,1.0,"1,600",200,140,80,34,3,Compute-heavy,56,Renewable-first,60
1.5,"44,000",20,1.5,"1,500",130,150,60,76,1,I/O heavy,482,Renewable-first,80
1.7,"18,000",70,1.4,"1,900",50,60,50,80,2,Compute-heavy,135,Hybrid,10
1.8,"12,000",30,1.5,"2,500",60,60,0,45,1,Mixed,158,Non-renewable,0
1.5,"15,000",50,1.3,"1,000",160,100,10,48,5,I/O heavy,307,Hybrid,40
1.8,"46,000",30,1.4,"2,600",100,100,100,57,5,Mixed,427,Non-renewable,30
1.5,"46,000",100,1.6,600,160,130,20,62,0,Mixed,482,Renewable-first,20
1.5,"47,000",40,1.4,"1,800",160,90,10,200,0,I/O heavy,191,Non-renewable,60
1.5,"37,000",90,1.3,900,200,130,40,108,3,I/O heavy,252,Non-renewable,70
1.3,"19,000",80,1.2,"1,900",200,130,30,82,0,I/O heavy,498,Non-renewable,60
1.2,"41,000",10,1.4,900,50,80,70,151,3,I/O heavy,65,Non-renewable,10
1.3,"18,000",80,1.5,"1,400",180,140,40,22,0,Compute-heavy,192,Non-renewable,40
1.5,"30,000",20,1.3,"1,800",140,120,60,45,5,I/O heavy,489,Non-renewable,30
1.4,"12,000",40,1.7,"2,200",140,140,0,91,1,Mixed,388,Renewable-first,60
1.5,"8,000",60,1.8,"2,700",80,130,20,30,1,I/O heavy,485,Renewable-first,50
1.8,"40,000",10,1.2,"3,000",60,130,50,157,5,Compute-heavy,261,Non-renewable,80
1.4,"22,000",30,1.5,600,130,70,50,181,0,Mixed,188,Renewable-first,60
1.5,"31,000",0,1.2,"2,100",110,50,40,152,0,I/O heavy,445,Hybrid,70
1.3,"23,000",100,1.4,"1,000",160,100,90,112,1,Compute-heavy,374,Non-renewable,20
1.2,"7,000",20,1.3,500,20,100,60,133,0,I/O heavy,219,Non-renewable,40
1.7,"13,000",50,1.2,800,90,140,50,147,2,Compute-heavy,281,Renewable-first,80
1.5,"43,000",10,1.3,"2,400",180,80,70,28,2,Compute-heavy,263,Hybrid,20
1.7,"6,000",70,1.1,"2,600",170,130,20,145,1,Mixed,499,Renewable-first,30
1.3,"13,000",60,1.1,"1,900",60,110,0,144,2,Mixed,273,Renewable-first,20
1.5,"10,000",20,1.4,"2,500",110,70,40,66,4,Compute-heavy,60,Non-renewable,30
1.4,"42,000",0,1.7,800,150,60,90,120,2,Compute-heavy,437,Hybrid,70
1.3,"32,000",90,1.5,"2,600",30,140,80,115,1,I/O heavy,53,Hybrid,10
1.2,"38,000",30,1.5,"3,000",20,110,60,184,4,I/O heavy,170,Non-renewable,20
1.3,"33,000",30,1.3,900,60,60,30,79,4,Mixed,121,Hybrid,0
1.4,"7,000",100,1.4,"2,700",110,150,60,76,1,I/O heavy,465,Non-renewable,70
1.3,"20,000",40,1.0,"2,500",50,150,70,199,2,Mixed,330,Renewable-first,70
1.8,"48,000",20,1.8,"2,900",120,50,20,57,5,Mixed,81,Hybrid,50
1.4,"39,000",100,1.2,"2,300",30,150,100,131,4,Compute-heavy,239,Hybrid,50
1.3,"15,000",10,1.7,"1,900",200,80,100,80,5,Compute-heavy,174,Renewable-first,40
1.3,"47,000",10,1.6,"1,800",20,60,60,140,1,Mixed,171,Non-renewable,40
1.6,"27,000",70,1.4,"1,700",180,140,10,107,2,I/O heavy,74,Non-renewable,0
1.2,"34,000",60,1.4,"2,200",70,140,80,105,5,Compute-heavy,369,Hybrid,40
1.7,"9,000",0,1.3,500,60,70,10,155,5,Mixed,449,Renewable-first,60
1.8,"12,000",80,1.5,"2,500",180,100,60,80,3,I/O heavy,470,Hybrid,80
1.3,"47,000",20,1.8,"1,500",110,100,100,99,4,I/O heavy,490,Renewable-first,60
1.5,"47,000",20,1.6,"1,600",190,150,30,133,0,Compute-heavy,461,Non-renewable,20
1.2,"14,000",0,1.3,"2,800",100,130,50,102,4,Compute-heavy,480,Hybrid,80
1.6,"32,000",100,1.4,"2,900",80,110,10,62,1,I/O heavy,228,Hybrid,80
1.4,"40,000",30,1.4,700,170,150,50,168,0,I/O heavy,58,Renewable-first,30
1.4,"14,000",90,1.2,"2,700",120,80,40,102,5,Mixed,383,Non-renewable,40
1.3,"18,000",100,1.7,"2,000",140,80,100,50,0,I/O heavy,316,Hybrid,60
1.6,"42,000",10,1.6,800,90,140,70,103,4,Compute-heavy,102,Non-renewable,10
1.4,"41,000",20,1.5,"2,000",20,80,20,27,5,Compute-heavy,94,Renewable-first,20
1.3,"9,000",100,1.3,"2,700",140,110,10,37,1,Compute-heavy,207,Renewable-first,40
1.6,"10,000",0,1.2,"2,500",130,90,30,190,3,I/O heavy,151,Non-renewable,20
1.5,"34,000",20,1.5,"1,000",130,130,20,99,2,I/O heavy,88,Renewable-first,60
1.7,"23,000",30,1.2,"2,800",160,130,10,44,5,Mixed,149,Renewable-first,60
1.3,"18,000",50,1.0,"3,000",40,100,60,82,2,Mixed,391,Renewable-first,0
1.7,"15,000",20,1.1,"3,000",80,110,80,54,5,Mixed,286,Hybrid,20
1.6,"9,000",100,1.6,"2,900",200,140,0,93,0,I/O heavy,365,Hybrid,30
